Date,Inflow,Outflow,Balance,DateTime (Local)
2026-02-13,962.750498,0.000000,962.750498,2026-02-13 23:22:27
2026-02-14,60671.010178,42516.983093,19116.777583,2026-02-14 23:51:31
2026-02-15,52561.610149,28659.794942,43018.592790,2026-02-15 23:24:33
2026-02-16,100714.010264,69182.906338,74549.696716,2026-02-16 23:58:39
2026-02-17,54978.366705,60500.318935,69027.744486,2026-02-17 23:55:59
2026-02-18,109999.131439,92026.625223,87000.250702,2026-02-18 23:07:16
2026-02-19,103443.538819,111198.259712,79245.529809,2026-02-19 15:59:02
